,FIPS,2013 Rural-urban Continuum Code,Population_2010,Civilian_labor_force_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Cluster,State,Brewery_Count
933,20119,9.0,4575,2150,2.8,64640,104.2,2,KS,0.0
934,20121,1.0,32787,17681,5.0,74428,120.0,0,KS,0.0
935,20123,7.0,6373,3429,2.7,51979,83.8,2,KS,0.0
936,20125,5.0,35471,14852,7.3,44240,71.3,3,KS,1.0
937,20127,8.0,5923,3079,3.9,54775,88.3,2,KS,0.0
938,20129,9.0,3233,1139,3.0,56175,90.6,2,KS,0.0
939,20131,6.0,10178,5596,3.0,63373,102.2,2,KS,0.0
940,20133,7.0,16512,6246,6.4,49533,79.9,2,KS,0.0
941,20135,9.0,3107,1334,3.4,54727,88.2,2,KS,0.0
942,20137,7.0,5671,2644,2.7,49739,80.2,2,KS,0.0
943,20139,3.0,16295,8009,5.1,55655,89.7,2,KS,0.0
944,20141,9.0,3858,1965,2.9,46351,74.7,2,KS,0.0
945,20143,9.0,6091,2978,4.3,58729,94.7,2,KS,0.0
946,20145,7.0,6973,2846,3.8,65141,105.0,2,KS,0.0
947,20147,7.0,5642,2651,3.4,51546,83.1,2,KS,0.0
948,20149,3.0,21604,11981,4.3,73685,118.8,0,KS,0.0
949,20151,7.0,9656,4926,3.6,53980,87.0,2,KS,0.0
950,20153,9.0,2519,1547,2.5,50768,81.8,2,KS,0.0
951,20155,4.0,64511,29626,5.5,53371,86.0,2,KS,1.0
952,20157,9.0,4980,2318,3.3,47082,75.9,2,KS,0.0
953,20159,7.0,10083,5080,4.2,56350,90.8,2,KS,0.0
954,20161,3.0,71115,34049,5.0,51996,83.8,2,KS,1.0
955,20163,9.0,5181,2509,4.0,49485,79.8,2,KS,0.0
956,20165,9.0,3307,1576,4.6,53189,85.7,2,KS,0.0
957,20167,7.0,6970,3317,4.2,46112,74.3,2,KS,0.0
958,20169,5.0,55606,29511,5.5,56741,91.5,2,KS,1.0
959,20171,7.0,4936,2826,2.5,62914,101.4,2,KS,0.0
960,20173,2.0,498365,257217,8.7,60014,96.8,0,KS,12.0
961,20175,5.0,22952,9816,4.4,55727,89.8,2,KS,0.0
962,20177,3.0,177934,91343,5.9,59451,95.8,0,KS,5.0
963,20179,9.0,2556,1462,2.3,54627,88.1,2,KS,0.0
964,20181,7.0,6010,2894,3.4,54000,87.1,2,KS,0.0
965,20183,9.0,3853,1996,2.7,45915,74.0,2,KS,0.0
966,20185,9.0,4437,2043,3.7,51007,82.2,2,KS,0.0
967,20187,9.0,2235,1080,2.4,63401,102.2,2,KS,0.0
968,20189,7.0,5724,2807,2.9,61264,98.8,2,KS,0.0
969,20191,2.0,24132,11017,8.1,53618,86.4,3,KS,0.0
970,20193,7.0,7900,4230,2.9,58652,94.6,2,KS,0.0
971,20195,9.0,3001,1470,3.5,52597,84.8,2,KS,0.0
972,20197,3.0,7053,3677,4.2,66168,106.7,0,KS,0.0
973,20199,9.0,1485,825,2.2,54714,88.2,2,KS,0.0
974,20201,9.0,5799,3062,2.5,46263,74.6,2,KS,1.0
975,20203,9.0,2234,1258,2.1,54009,87.1,2,KS,0.0
976,20205,7.0,9409,3913,7.8,46243,74.6,3,KS,0.0
977,20207,9.0,3309,1567,5.9,43751,70.5,2,KS,0.0
978,20209,1.0,157505,78392,7.8,47292,76.2,3,KS,1.0
979,21001,7.0,18656,6961,7.2,37650,72.0,3,KY,0.0
980,21003,3.0,19956,8732,5.5,47307,90.5,2,KY,0.0
981,21005,6.0,21421,11752,6.1,61308,117.3,2,KY,0.0
982,21007,9.0,8249,3356,6.6,48053,92.0,2,KY,0.0
983,21009,6.0,42173,18195,7.5,44859,85.8,3,KY,1.0
984,21011,8.0,11591,4561,8.3,42248,80.8,3,KY,0.0
985,21013,7.0,28691,8248,7.8,30940,59.2,3,KY,0.0
986,21015,1.0,118811,70071,5.4,78806,150.8,0,KY,1.0
987,21017,2.0,19985,9577,5.9,47046,90.0,3,KY,1.0
988,21019,2.0,49542,17551,8.3,50017,95.7,3,KY,0.0
989,21021,7.0,28432,12540,7.4,53644,102.7,2,KY,1.0
990,21023,1.0,8488,3744,6.2,53289,102.0,0,KY,0.0
991,21025,7.0,13878,3285,10.2,33407,63.9,3,KY,0.0
992,21027,8.0,20059,7846,7.3,46069,88.2,2,KY,0.0
993,21029,1.0,74319,42031,6.4,66335,126.9,0,KY,0.0
994,21031,3.0,12690,4961,6.9,46305,88.6,3,KY,0.0
995,21033,7.0,12984,5570,6.2,44144,84.5,2,KY,0.0
996,21035,7.0,37191,17865,6.2,45574,87.2,2,KY,0.0
997,21037,1.0,90336,49647,5.6,66520,127.3,0,KY,5.0
998,21039,9.0,5104,2168,4.7,49659,95.0,2,KY,0.0
999,21041,6.0,10811,5289,5.9,51672,98.9,2,KY,0.0
1000,21043,6.0,27720,9586,9.6,43492,83.2,3,KY,0.0
1001,21045,9.0,15955,6666,6.2,34751,66.5,2,KY,0.0
1002,21047,2.0,73955,24587,7.8,46390,88.8,3,KY,1.0
1003,21049,2.0,35613,17006,6.6,55428,106.1,0,KY,1.0
1004,21051,7.0,21730,5199,8.6,30175,57.7,3,KY,0.0
1005,21053,9.0,10272,3978,5.1,34005,65.1,2,KY,0.0
1006,21055,7.0,9315,3663,5.5,44595,85.3,2,KY,0.0
1007,21057,9.0,6856,3271,4.9,34897,66.8,2,KY,0.0
1008,21059,3.0,96656,45710,6.1,52620,100.7,0,KY,1.0
1009,21061,3.0,12161,4599,7.7,47482,90.9,3,KY,0.0
1010,21063,9.0,7852,1967,10.1,34262,65.6,3,KY,0.0
1011,21065,6.0,14672,5153,7.5,35004,67.0,3,KY,0.0
1012,21067,2.0,295803,172284,5.7,58981,112.9,0,KY,9.0
1013,21069,7.0,14348,6135,7.3,43943,84.1,3,KY,0.0
1014,21071,7.0,39451,10688,9.2,35828,68.6,3,KY,1.0
1015,21073,4.0,49285,24745,6.6,58917,112.7,0,KY,3.0
1016,21075,9.0,6813,1983,6.5,34376,65.8,2,KY,0.0
